review_id,order_id,customer_id,restaurant_id,review_text,rating,review_timestamp
REV-000003,ORD-20260107-862397,CUST-10461,REST-AUH-002,Really good Gajar Halwa  Gulab Jamun (2 pcs)  and Palak Paneer! The Palak Paneer was delicious. Slight delay in delivery but food quality made up for it.,4,2026-01-08T16:44:15.667137
REV-000001,ORD-20260104-285336,CUST-10199,REST-SHJ-001,Hands down the best Chicken Seekh Kebab I've ever had! Garlic Naan  Chicken Seekh Kebab  Aloo Tikki Chaat  and Palak Paneer were all prepared beautifully. Fresh and flavorful!,5,2026-01-08T18:27:24.667137
REV-000002,ORD-20260104-628182,CUST-10326,REST-AUH-001,Perfect in every way! Vegetable Biryani and Jeera Rice were all excellent. Jeera Rice stood out with its rich  authentic taste.,5,2026-01-09T20:06:20.667137
REV-000005,ORD-20260109-913958,CUST-10065,REST-DXB-001,Good quality food. Jeera Rice  Garlic Naan  Fish Curry  Chicken 65  and Dal Makhani were nicely done. Chicken 65 could have been slightly spicier but still good!,4,2026-01-12T14:23:45.667137
REV-000007,ORD-20260110-977932,CUST-10222,REST-AUH-001,Wow! Just wow! Sweet Lassi and Paneer Butter Masala were all fantastic. Paneer Butter Masala was particularly memorable. Can't wait to order again!,5,2026-01-13T14:35:22.667137
REV-000004,ORD-20260108-446830,CUST-10114,REST-SHJ-001,Enjoyed the Kulfi and Masala Chai! Masala Chai was very good. Portion sizes were generous. Recommend!,4,2026-01-15T15:48:54.667137
REV-000006,ORD-20260109-136029,CUST-10377,REST-AUH-001,Expected better. Butter Naan and Chicken Biryani were subpar. Butter Naan was too oily and greasy. Stomach upset followed.,2,2026-01-15T21:10:30.667137
REV-000008,ORD-20260111-341132,CUST-10179,REST-DXB-002,Absolutely horrible! Chicken Seekh Kebab  Malai Kofta  Butter Naan  and Masala Chai arrived ice cold after 2 hour delay. Chicken Seekh Kebab was spoiled. Disgusting!,1,2026-01-16T22:11:01.667137
REV-000009,ORD-20260114-958225,CUST-10297,REST-SHJ-001,Absolutely amazing Chicken Tikka Masala  Rasmalai (2 pcs)  Naan  and Aloo Tikki Chaat! The Chicken Tikka Masala was cooked to perfection. Fresh ingredients and authentic flavors. Highly recommend!,5,2026-01-19T18:45:19.667137
REV-000011,ORD-20260118-835751,CUST-10068,REST-SHJ-001,Terrible experience! Jeera Rice and Chole Bhature were all inedible. Jeera Rice was completely burnt. Waste of money!,1,2026-01-19T19:06:36.667137
REV-000013,ORD-20260120-195648,CUST-10420,REST-AUH-002,Hands down the best Chicken Seekh Kebab I've ever had! Chicken Seekh Kebab were all prepared beautifully. Fresh and flavorful!,5,2026-01-21T17:53:01.667137
REV-000010,ORD-20260118-372911,CUST-10375,REST-DXB-001,Outstanding experience! The Sweet Lassi  Chole Bhature  and Chicken Tikka Masala exceeded all expectations. Chole Bhature was the star of the meal. Will definitely order again!,5,2026-01-23T18:38:12.667137
REV-000015,ORD-20260122-396107,CUST-10085,REST-SHJ-001,Outstanding experience! The Naan  Aloo Tikki Chaat  Fish Curry  Gulab Jamun (2 pcs)  and Chicken 65 exceeded all expectations. Gulab Jamun (2 pcs) was the star of the meal. Will definitely order again!,5,2026-01-23T19:52:28.667137
REV-000014,ORD-20260121-378516,CUST-10395,REST-DXB-002,Decent food but nothing special. Butter Naan and Sweet Lassi were okay. Butter Naan lacked the punch I expected.,3,2026-01-25T12:41:44.667137
REV-000012,ORD-20260120-242711,CUST-10431,REST-DXB-002,Exceptional quality! Ordered Samosa (2 pcs) and Gulab Jamun (2 pcs) and everything was delicious. The Gulab Jamun (2 pcs) melted in my mouth. Perfect!,5,2026-01-26T10:35:38.667137
REV-000016,ORD-20260124-941833,CUST-10175,REST-DXB-002,Mediocre. Chicken Tikka Masala were fine but forgettable. Chicken Tikka Masala didn't stand out.,3,2026-01-26T15:46:17.667137
